ìÂ;ìÀ
8.5347E-03;1.7069E-07
8.9314E-03;1.7863E-07
9.0693E-03;1.8139E-07
9.0832E-03;1.8166E-07
9.1922E-03;1.8384E-07
9.4716E-03;1.8943E-07
9.7165E-03;1.9433E-07
9.7203E-03;1.9441E-07
9.7342E-03;1.9468E-07
9.7789E-03;1.9558E-07
9.8311E-03;1.9662E-07
9.8320E-03;1.9664E-07
9.9419E-03;1.9884E-07
9.9913E-03;1.9983E-07
1.0126E-02;2.0253E-07
1.0151E-02;2.0301E-07
1.0157E-02;2.0314E-07
1.0216E-02;2.0431E-07
1.0250E-02;2.0500E-07
1.0293E-02;2.0586E-07
1.0349E-02;2.0698E-07
1.0409E-02;2.0817E-07
1.0477E-02;2.0953E-07
1.0510E-02;2.1020E-07
1.0550E-02;2.1100E-07
1.0553E-02;2.1106E-07
1.0563E-02;2.1126E-07
1.0594E-02;2.1188E-07
1.0711E-02;2.1422E-07
1.0773E-02;2.1545E-07
1.0793E-02;2.1586E-07
1.0893E-02;2.1786E-07
1.0908E-02;2.1815E-07
1.0944E-02;2.1888E-07
1.0975E-02;2.1950E-07
1.0982E-02;2.1964E-07
1.1000E-02;2.2000E-07
1.1038E-02;2.2076E-07
1.1069E-02;2.2138E-07
1.1094E-02;2.2188E-07
1.1100E-02;2.2201E-07
1.1122E-02;2.2244E-07
1.1131E-02;2.2262E-07
1.1135E-02;2.2270E-07
1.1244E-02;2.2488E-07
1.1287E-02;2.2574E-07
1.1289E-02;2.2577E-07
1.1309E-02;2.2618E-07
1.1314E-02;2.2628E-07
1.1426E-02;2.2851E-07
1.1546E-02;2.3091E-07
1.1620E-02;2.3240E-07
1.1639E-02;2.3278E-07
1.1678E-02;2.3356E-07
1.1691E-02;2.3382E-07
1.1700E-02;2.3401E-07
1.1708E-02;2.3415E-07
1.1715E-02;2.3430E-07
1.1737E-02;2.3473E-07
1.1766E-02;2.3533E-07
1.1874E-02;2.3749E-07
1.1929E-02;2.3859E-07
1.1991E-02;2.3982E-07
1.2036E-02;2.4073E-07
1.2058E-02;2.4116E-07
1.2110E-02;2.4220E-07
1.2203E-02;2.4406E-07
1.2243E-02;2.4486E-07
1.2334E-02;2.4667E-07
1.2336E-02;2.4673E-07
1.2343E-02;2.4686E-07
1.2368E-02;2.4736E-07
1.2403E-02;2.4807E-07
1.2404E-02;2.4809E-07
1.2407E-02;2.4814E-07
1.2484E-02;2.4969E-07
1.2768E-02;2.5537E-07
1.2780E-02;2.5559E-07
1.2947E-02;2.5895E-07
1.3046E-02;2.6092E-07
1.3076E-02;2.6152E-07
1.3095E-02;2.6191E-07
1.3212E-02;2.6424E-07
1.3238E-02;2.6476E-07
1.3418E-02;2.6835E-07
1.3469E-02;2.6938E-07
1.3502E-02;2.7005E-07
1.3674E-02;2.7347E-07
1.3702E-02;2.7403E-07
1.3723E-02;2.7446E-07
1.3731E-02;2.7463E-07
1.3736E-02;2.7472E-07
1.3764E-02;2.7528E-07
1.3799E-02;2.7599E-07
1.3889E-02;2.7778E-07
1.3920E-02;2.7839E-07
1.3965E-02;2.7930E-07
1.4134E-02;2.8268E-07
1.4177E-02;2.8353E-07
1.4190E-02;2.8379E-07
1.4403E-02;2.8806E-07
1.4486E-02;2.8972E-07
1.4538E-02;2.9076E-07
1.4668E-02;2.9337E-07
1.4687E-02;2.9374E-07
1.4772E-02;2.9544E-07
1.4789E-02;2.9577E-07
1.4993E-02;2.9987E-07
1.5004E-02;3.0007E-07
1.5014E-02;3.0028E-07
1.5101E-02;3.0201E-07
1.5159E-02;3.0318E-07
1.5253E-02;3.0507E-07
1.5275E-02;3.0549E-07
1.5354E-02;3.0708E-07
1.5379E-02;3.0758E-07
1.5429E-02;3.0859E-07
1.5455E-02;3.0911E-07
1.5495E-02;3.0991E-07
1.5571E-02;3.1142E-07
1.5576E-02;3.1151E-07
1.5595E-02;3.1190E-07
1.5621E-02;3.1242E-07
1.5646E-02;3.1293E-07
1.5725E-02;3.1449E-07
1.5747E-02;3.1494E-07
1.5834E-02;3.1667E-07
1.5847E-02;3.1693E-07
1.5850E-02;3.1701E-07
1.5872E-02;3.1743E-07
1.5919E-02;3.1838E-07
1.5992E-02;3.1984E-07
1.6098E-02;3.2196E-07
1.6192E-02;3.2384E-07
1.6241E-02;3.2481E-07
1.6285E-02;3.2570E-07
1.6355E-02;3.2710E-07
1.6527E-02;3.3055E-07
1.6541E-02;3.3083E-07
1.6630E-02;3.3260E-07
1.6663E-02;3.3327E-07
1.6690E-02;3.3381E-07
1.6866E-02;3.3733E-07
1.6878E-02;3.3755E-07
1.6882E-02;3.3764E-07
1.6920E-02;3.3841E-07
1.6956E-02;3.3912E-07
1.7008E-02;3.4016E-07
1.7071E-02;3.4143E-07
1.7093E-02;3.4185E-07
1.7281E-02;3.4562E-07
1.7317E-02;3.4634E-07
1.7343E-02;3.4686E-07
1.7363E-02;3.4726E-07
1.7450E-02;3.4901E-07
1.7486E-02;3.4971E-07
1.7490E-02;3.4981E-07
1.7577E-02;3.5154E-07
1.7603E-02;3.5206E-07
1.7664E-02;3.5327E-07
1.7678E-02;3.5357E-07
1.7678E-02;3.5357E-07
1.7678E-02;3.5357E-07
1.7723E-02;3.5446E-07
1.7746E-02;3.5493E-07
1.7785E-02;3.5569E-07
1.7826E-02;3.5651E-07
1.7890E-02;3.5780E-07
1.7938E-02;3.5877E-07
1.7953E-02;3.5906E-07
1.8009E-02;3.6018E-07
1.8039E-02;3.6078E-07
1.8040E-02;3.6080E-07
1.8121E-02;3.6242E-07
1.8130E-02;3.6260E-07
1.8163E-02;3.6326E-07
1.8245E-02;3.6489E-07
1.8248E-02;3.6495E-07
1.8256E-02;3.6512E-07
1.8275E-02;3.6549E-07
1.8316E-02;3.6633E-07
1.8316E-02;3.6633E-07
1.8352E-02;3.6704E-07
1.8398E-02;3.6797E-07
1.8446E-02;3.6892E-07
1.8525E-02;3.7050E-07
1.8534E-02;3.7069E-07
1.8546E-02;3.7091E-07
1.8597E-02;3.7194E-07
1.8626E-02;3.7251E-07
1.8643E-02;3.7287E-07
1.8688E-02;3.7376E-07
1.8860E-02;3.7721E-07
1.8860E-02;3.7721E-07
1.8948E-02;3.7896E-07
1.8960E-02;3.7920E-07
1.8988E-02;3.7976E-07
1.9116E-02;3.8233E-07
1.9586E-02;3.9172E-07
1.9874E-02;3.9747E-07
